name,type,city,internship_open,paid,monthly_stipend_eur,response_status,address,source_url,last_checked,notes,lat,lon,loc
Geopost SA,company,Brussels,unknown,unknown,,classified,"rue du Trône, 100, 1000 Brussels",https://www.geopost.com/en/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.848949,4.367702,approx
Coalition for Fair Fisheries Arrangements,NGO,Brussels,unknown,unknown,,classified,"Rue Abbé Cuypers 3, 1040 Brussels",https://www.cffacape.org/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.83667,4.397167,approx
Quality Education in Europe for Sustainable Social Transformation,NGO,Brussels,unknown,unknown,,classified,"Rue François Gay 257, 1150 Brussels",https://quest-eu.org/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.832122,4.438876,approx
European Council for Automotive R&D,trade union,Brussels,unknown,unknown,,classified,"Rond-Point Schuman 6Brussels, 1040 Brussels",http://eucar.be,2026-07,EU Transparency Register; location approximate (postcode-level).,50.830079,4.395217,approx
E+Europe,consultancy,Brussels,unknown,unknown,,classified,"Chemin Prive t'en Cortenbosch 18a18a, 1180 Brussels",http://www.epluseurope.com,2026-07,EU Transparency Register; location approximate (postcode-level).,50.786268,4.358721,approx
Air Traffic Controllers European Unions Coordination,trade union,Brussels,unknown,unknown,,classified,"ATCEUC C/O MERITIUS431 Avenue Georges Henri, 1200 Brussels",http://www.atceuc.org/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.846514,4.440359,approx
GMV Aerospace and Defence SAU,company,Brussels,unknown,unknown,,classified,"Rue Belliard 40, 1040 Brussels",http://www.gmv.com,2026-07,EU Transparency Register; location approximate (postcode-level).,50.836542,4.395958,approx
New Horizons Project,think tank,Brussels,unknown,unknown,,classified,"Avenue Winston Churchill 247 A1180 Brussels, 1180 Brussels",http://www.shadaislam.com,2026-07,EU Transparency Register; location approximate (postcode-level).,50.786657,4.358323,approx
EUMETNET,NGO,Brussels,unknown,unknown,,classified,"Avenue Circulaire, 3, 1180 Brussels",http://www.eumetnet.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.792045,4.354002,approx
International Panel of Experts on Sustainable Food Systems,think tank,Brussels,unknown,unknown,,classified,"Mundo MadouRue de la Charité 22, 1210 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.850825,4.373933,approx
Waterproofing Europe,trade association,Brussels,unknown,unknown,,classified,"Rue Marie de Bourgogne 58, B-1000 Brussels",https://www.waterproofing-europe.com/,2026-07,EU Transparency Register; location approximate (postcode-level).,,,approx
Hinicio SA,company,Brussels,unknown,unknown,,classified,"Avenue Louise 240, 1050 Brussels",https://www.hinicio.com/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.821292,4.373304,approx
Heidelberg Materials AG,company,Brussels,unknown,unknown,,classified,"Rue Marie de Bourgogne 58, 1000 Brussels",http://www.heidelbergmaterials.com/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.844132,4.368188,approx
Union of European Foresters,NGO,Brussels,unknown,unknown,,classified,"Union of European Forestersc/o European Forestry House, 1000 Brussels",http://european-foresters.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.84332,4.363706,approx
Samaritan International,NGO,Brussels,unknown,unknown,,classified,"Rue de Pascale 4-6, 1040 Brussels",http://www.samaritan-international.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.832508,4.391513,approx
European Contact Group,trade association,Brussels,unknown,unknown,,classified,"Rue Belliard 40, 1040 Brussels",https://www.europeancontactgroup.eu/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.83497,4.395368,approx
CONFÉDÉRATION DE LIAISON INTERNATIONALE DE MARCHANDS DE MACHINES AGRICOLES ET DES RÉPARATEURS,trade association,Brussels,unknown,unknown,,classified,"Rue Jacques de Lalaing 4, 1040 Brussels",https://www.climmar.com,2026-07,EU Transparency Register; location approximate (postcode-level).,50.832999,4.388414,approx
European Casino Association,trade association,Brussels,unknown,unknown,,classified,"Rue du Commerce 31, 1000 Brussels",http://www.europeancasinoassociation.org,2026-07,EU Transparency Register; location approximate (postcode-level).,50.850435,4.364639,approx
European Water and Wastewater Regulatory Authorities,NGO,Brussels,unknown,unknown,,classified,"Avenue des Arts, 46/14, 1000 Brussels",https://wareg.org,2026-07,EU Transparency Register; location approximate (postcode-level).,50.848689,4.362081,approx
"European Council of the Paint, Printing Ink and Artists' Colours Industry",trade association,Brussels,unknown,unknown,,classified,"BOULEVARD DU TRIOMPHE 172, 1160 Brussels",http://www.cepe.org,2026-07,EU Transparency Register; location approximate (postcode-level).,50.81165,4.439474,approx
Federation of European Ergonomics Societies,NGO,Brussels,unknown,unknown,,classified,"Rue de Grand-Bigard 14,, 1082 Brussels",https://www.ergonomics-fees.eu/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.86463,4.29673,approx
European Open Science Cloud Association aisbl,NGO,Brussels,unknown,unknown,,classified,"Rue du Luxembourg 3, 1000 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.844582,4.369843,approx
Fragomen Global LLP,law firm,Brussels,unknown,unknown,,classified,"Rue de la Regence 52R52, 4th Floor, 1000 Brussels",http://www.fragomen.com,2026-07,EU Transparency Register; location approximate (postcode-level).,50.848496,4.37116,approx
European Confederation of Institutes of Internal Auditing,trade union,Brussels,unknown,unknown,,classified,"Avenue des Arts 6C/O Industrious, 1210 Brussels",http://www.eciia.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.856168,4.369491,approx
Association Européenne de Commerce d'Armes Civiles,trade union,Brussels,unknown,unknown,,classified,"Rue Belliard 205, 1040 Brussels",https://www.aecac.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.831072,4.399184,approx
WWF Portugal,NGO,Brussels,unknown,unknown,,classified,"WWF European Policy ProgrammeRue du Commerce 123, 1000 Brussels",http://www.wwf.pt,2026-07,EU Transparency Register; location approximate (postcode-level).,50.846764,4.369065,approx
European University Hospital Alliance,NGO,Brussels,unknown,unknown,,classified,"European University Hospital AllianceWARMOESBERG 26, 1000 Brussels",http://euhalliance.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.846976,4.371562,approx
Too Good To Go,company,Brussels,unknown,unknown,,classified,"Rue du Commerce 31, 1000 Brussels",https://toogoodtogo.com,2026-07,EU Transparency Register; location approximate (postcode-level).,50.846522,4.362215,approx
European Transport Safety Council,NGO,Brussels,unknown,unknown,,classified,"Avenue des Celtes, 20, 1040 Brussels",http://www.etsc.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.837966,4.398241,approx
Society of Audiovisual Authors,NGO,Brussels,unknown,unknown,,classified,"Rue du Prince Royal, 87, 1050 Brussels",http://www.saa-authors.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.825187,4.379412,approx
Inclusion Europe aisbl.,NGO,Brussels,unknown,unknown,,classified,"Avenue des arts 3, 1210 Brussels",https://inclusion.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.854123,4.37871,approx
Federation of European Rice Millers,trade association,Brussels,unknown,unknown,,classified,"Avenue de Tervueren 188A box 4, 1150 Brussels",https://www.ferm-eu.org/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.835886,4.446622,approx
COMMUNIA Association for the Public Domain,NGO,Brussels,unknown,unknown,,classified,"Rue Belliard 12, 1040 Brussels",http://www.communia-association.org,2026-07,EU Transparency Register; location approximate (postcode-level).,50.831345,4.387505,approx
American Chamber of Commerce in Belgium,trade association,Brussels,unknown,unknown,,classified,"boulevard Saint-Michel 47, 1040 Brussels",https://amcham.be/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.837873,4.386663,approx
European Floorcovering Association,trade association,Brussels,unknown,unknown,,classified,"Bisschofheimlaan 15 bus 100/025, 1000 Brussels",http://www.eufca.org,2026-07,EU Transparency Register; location approximate (postcode-level).,50.850167,4.366513,approx
Ahold Delhaize,company,Brussels,unknown,unknown,,classified,"Avenue des Nerviens 85Third floor, 1040 Brussels",http://www.aholddelhaize.com,2026-07,EU Transparency Register; location approximate (postcode-level).,50.830193,4.396666,approx
Malta Business Foundation,trade association,Brussels,unknown,unknown,,classified,"Malta Business BureauRond-Point-Schuman 6, 1040 Brussels",http://www.mbb.org.mt,2026-07,EU Transparency Register; location approximate (postcode-level).,50.836082,4.391637,approx
Global Alliance of Mental Illness Advocacy Networks,NGO,Brussels,unknown,unknown,,classified,"Avenue Marnix 17, B1000 Brussels",http://www.gamian.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,,,approx
The European Group of Valuers' Associations,public/mixed,Brussels,unknown,unknown,,classified,"Boulevard Saint Michel, 45, 1040 Brussels",http://www.tegova.org,2026-07,EU Transparency Register; location approximate (postcode-level).,50.830593,4.385016,approx
BIMCO,trade association,Brussels,unknown,unknown,,classified,"De Meeûssquare 35, 1000 Brussels",http://www.bimco.org,2026-07,EU Transparency Register; location approximate (postcode-level).,50.847189,4.362569,approx
International Federation of Aeronautical Information Management Associations,trade union,Brussels,unknown,unknown,,classified,"Boulevard Saint-Michel 65Etterbeek, 1040 Brussels",http://www.ifaima.org,2026-07,EU Transparency Register; location approximate (postcode-level).,50.832894,4.390705,approx
Alber & Geiger,law firm,Brussels,unknown,unknown,,classified,"Rue des Colonies 11, 1000 Brussels",https://albergeiger.com,2026-07,EU Transparency Register; location approximate (postcode-level).,50.847679,4.369107,approx
Stichting BirdLife Europe,NGO,Brussels,unknown,unknown,,classified,"Cours Saint-Michel 30 B 1040 Brusselsc/o Hive5, 1040 Brussels",http://www.birdlife.org/europe-and-central-asia,2026-07,EU Transparency Register; location approximate (postcode-level).,50.831723,4.391641,approx
Avocats Sans Frontières,NGO,Brussels,unknown,unknown,,classified,"140 rue de la chasse, 1040 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.830034,4.393398,approx
Bureau International du Béton Manufacturé,trade association,Brussels,unknown,unknown,,classified,"Rue d'Arlon, 556th Floor, 1040 Brussels",http://www.bibm.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.830638,4.392484,approx
CARE Deutschland e.V.,NGO,Brussels,unknown,unknown,,classified,"CARE International367 Avenue Louise, 1050 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.82438,4.374276,approx
Agence Universitaire de la Francophonie,NGO,Brussels,unknown,unknown,,classified,"Boulevard Baudouin, 12, 1000 Brussels",https://www.auf.org/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.843196,4.36992,approx
Opes Oceani Foundation Europe,NGO,Brussels,unknown,unknown,,classified,"OPES OCEANI FOUNDATION EUROPEBoulevard Louis Schmidt 24, 1040 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.830111,4.388668,approx
Medin Europe SRL,consultancy,Brussels,unknown,unknown,,classified,"Avenue des Arts 44, 1040 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.835791,4.387546,approx
Norton Rose Fulbright LLP,law firm,Brussels,unknown,unknown,,classified,"Square de Meeûs 5-6, 1000 Brussels",http://www.nortonrosefulbright.com/uk/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.844982,4.363908,approx
UNIFE,trade association,Brussels,unknown,unknown,,classified,"Avenue Louise, 221, 1050 Brussels",http://www.unife.org,2026-07,EU Transparency Register; location approximate (postcode-level).,50.823884,4.380661,approx
European Sprouted Seeds Association,trade association,Brussels,unknown,unknown,,classified,"Rue de Treves 49-51, 1040 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.836033,4.386306,approx
Comité de Liaison des Géomètres Européens,trade union,Brussels,unknown,unknown,,classified,"CLGEHouse of the European Surveyor and GI, 1000 Brussels",http://www.clge.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.846286,4.359173,approx
Bundesverband Kooperierender Mittelstand,trade association,Brussels,unknown,unknown,,classified,"Rue Jacques de Lalaing 4, 1040 Brussels",https://www.bkm-verband.de,2026-07,EU Transparency Register; location approximate (postcode-level).,50.831895,4.395804,approx
INTERNATIONAL COUNCIL FOR HUMAN DEVELOPMENT,NGO,Brussels,unknown,unknown,,classified,"RUE WILLEMS23, 1210 Brussels",http://WWW.ICHD.EU,2026-07,EU Transparency Register; location approximate (postcode-level).,50.859218,4.371655,approx
The Brewers of Europe,trade association,Brussels,unknown,unknown,,classified,"Rue Caroly, 23-25, 1050 Brussels",http://www.brewersofeurope.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.816283,4.376354,approx
Lucid Computing,company,Brussels,unknown,unknown,,classified,"99 Chaussee de Wavre, 1050 Brussels",https://lucidcomputing.ai,2026-07,EU Transparency Register; location approximate (postcode-level).,50.824441,4.373094,approx
European Multiple Sclerosis Platform,NGO,Brussels,unknown,unknown,,classified,"Rue Auguste Lambiotte 144/8, 1030 Brussels",http://www.emsp.org/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.85599,4.386385,approx
Community Land Trust Brussel,NGO,Brussels,unknown,unknown,,classified,"Priemstraat 53, 1000 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.845502,4.360405,approx
UNION FRANCAISE DE L'ELECTRICITE - UFE,trade association,Brussels,unknown,unknown,,classified,"Rue Belliard 40, 1040 Brussels",http://www.ufe-electricite.fr,2026-07,EU Transparency Register; location approximate (postcode-level).,50.838278,4.387538,approx
Confederation of Finnish Industries EK,trade association,Brussels,unknown,unknown,,classified,"Avenue de Cortenbergh  172/8, 1000 Brussels",http://www.ek.fi/en/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.850172,4.367903,approx
Fundacja Polonia International,NGO,Brussels,unknown,unknown,,classified,"Galerie de Waterloo 2, 1050 Brussels",http://www.fund-polonia-int.org,2026-07,EU Transparency Register; location approximate (postcode-level).,50.824323,4.375567,approx
BOLDT,consultancy,Brussels,unknown,unknown,,classified,"10 Square Ambiorix, 1000 Brussels",https://boldtpartners.com/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.841282,4.366231,approx
Alliance VITA,NGO,Brussels,unknown,unknown,,classified,"rue de la Pèpinière 1, 1000 Brussels",http://www.alliancevita.org,2026-07,EU Transparency Register; location approximate (postcode-level).,50.847681,4.363346,approx
bpost SA/NV,company,Brussels,unknown,unknown,,classified,"Boulevard Anspach 1 / bus 1, 1000 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.844955,4.367284,approx
European Business and Innovation Centre Network,trade association,Brussels,unknown,unknown,,classified,"Av. de Tervuren 168, 1150 Brussels",https://www.ebn.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.833505,4.439007,approx
European Timber Industries Confederation AISBL,trade union,Brussels,unknown,unknown,,classified,"Square de Meeûs, 38-40, 1000 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.846318,4.361181,approx
Trans European Policy Studies Association,think tank,Brussels,unknown,unknown,,classified,"rue d'Egmont, 11, 1000 Brussels",http://www.tepsa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.848772,4.368506,approx
Eat Europe,NGO,Brussels,unknown,unknown,,classified,"Rondpoint Schuman 9, 1040 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.836329,4.390534,approx
Federazione Nazionale dell'Industria Chimica italiana,trade association,Brussels,unknown,unknown,,classified,"Avenue de la Joyeuse entrée N.1, 1040 Brussels",http://www.federchimica.it,2026-07,EU Transparency Register; location approximate (postcode-level).,50.832236,4.38495,approx
Cia Agricoltori italiani,trade union,Brussels,unknown,unknown,,classified,"rue Philippe Le Bon 46, 1000 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.846161,4.363438,approx
Syngenta Crop Protection AG,company,Brussels,unknown,unknown,,classified,"Avenue Louise 489, 1050 Brussels",http://www.syngenta.com,2026-07,EU Transparency Register; location approximate (postcode-level).,50.820132,4.37889,approx
FÉDÉRATION ÉTUDIANTE FRANCOPHONE,academic,Brussels,unknown,unknown,,classified,"Rue du Canon 23, 1000 Brussels",https://fef.be/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.849662,4.371275,approx
Norsk Hydro,company,Brussels,unknown,unknown,,classified,"Rue Archimede 17, 1000 Brussels",http://www.hydro.com,2026-07,EU Transparency Register; location approximate (postcode-level).,50.844872,4.370208,approx
European Platform for Rehabilitation,NGO,Brussels,unknown,unknown,,classified,"Avenue des Arts 8, 1210 Brussels",http://www.epr.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.855835,4.378158,approx
S&P Global,company,Brussels,unknown,unknown,,classified,"38/40 Square de Meeus, 1050 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.820908,4.381114,approx
DON BOSCO INTERNATIONAL,NGO,Brussels,unknown,unknown,,classified,"DON BOSCO INTERNATIONALClos Rappe 8, 1200 Brussels",http://www.donboscointernational.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.847804,4.435922,approx
Association of the European Self-Care Industry,trade association,Brussels,unknown,unknown,,classified,"Avenue de Tervuren, 7, B-1040 Brussels",http://www.aesgp.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,,,approx
"European Committee of Heating, Ventilation, Air Conditioning and Refrigeration Manufacturers",trade association,Brussels,unknown,unknown,,classified,"Square de Meeûs,35, 1000 Brussels",https://eurovent.eu/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.843721,4.362511,approx
Òmnium Civil Rights Europe,NGO,Brussels,unknown,unknown,,classified,"Rue Abbé Cuypers 3, 1040 Brussels",https://omnium.eu/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.832234,4.390732,approx
Jesuit Refugee Service - Europe,NGO,Brussels,unknown,unknown,,classified,"Chaussée de Wavre 205, 1050 Brussels",http://www.jrseurope.org,2026-07,EU Transparency Register; location approximate (postcode-level).,50.821156,4.385846,approx
MacroScope Strategies B.V.,consultancy,Brussels,unknown,unknown,,classified,"Rue de la Loi, 155Résidence Palace, B-1000 Brussels",https://macro-strats.com,2026-07,EU Transparency Register; location approximate (postcode-level).,,,approx
Total Politics Group,company,Brussels,unknown,unknown,,classified,"Avenue des Arts 44, 1000 Brussels",https://www.totalpolitics.com/about/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.845363,4.36908,approx
European Animal Research Association,NGO,Brussels,unknown,unknown,,classified,"Spaces European DistrictRue Belliard 40, 1040 Brussels Brussels",http://www.eara.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,,,approx
Open Government Partnership Secretariat,NGO,Brussels,unknown,unknown,,classified,"Rue de la Charite 22Mundo Madou, 1210 Brussels",http://www.opengovpartnership.org,2026-07,EU Transparency Register; location approximate (postcode-level).,50.853018,4.372644,approx
European Association of Long-Term Investors,NGO,Brussels,unknown,unknown,,classified,"Rue Montoyer, 51, 1000 Brussels",http://www.eltia.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.843597,4.365594,approx
Orange Belgium,company,Brussels,unknown,unknown,,classified,"Rue de la Science 41, 1040 Brussels",https://corporate.orange.be,2026-07,EU Transparency Register; location approximate (postcode-level).,50.832715,4.392435,approx
Business and Professional Women Europe,NGO,Brussels,unknown,unknown,,classified,"Rue du Meridien 10vzw AMAZONE asbl, 1210 Brussels",http://www.bpw-europe.org,2026-07,EU Transparency Register; location approximate (postcode-level).,50.856817,4.376154,approx
ERTMS Accredited Labs (EAL) a.i.s.b.l.,trade association,Brussels,unknown,unknown,,classified,"Rue du Trône 98c/o DLR e.V., 1050 Brussels",https://ertmsaccreditedlabs.org/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.826069,4.381387,approx
European Social Network AISBL,public authority,Brussels,unknown,unknown,,classified,"Avenue des Arts 3-4-58 Floor, 1210 Brussels",http://www.esn-eu.org,2026-07,EU Transparency Register; location approximate (postcode-level).,50.855294,4.367462,approx
European Federation of Public Service Unions,trade union,Brussels,unknown,unknown,,classified,"Rue Joseph II, 40, 1000 Brussels",http://www.epsu.org,2026-07,EU Transparency Register; location approximate (postcode-level).,50.844939,4.372442,approx
TenneT Holding B.V.,company,Brussels,unknown,unknown,,classified,"Square de Meeûs 38/40, 1000 Brussels",http://www.tennet.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.844298,4.368952,approx
The Open Group Limited,trade association,Brussels,unknown,unknown,,classified,"Rond Point Schuman 6, 7th Floor, 1040 Brussels",https://www.opengroup.org,2026-07,EU Transparency Register; location approximate (postcode-level).,50.830181,4.396511,approx
UNITEE AISBL,NGO,Brussels,unknown,unknown,,classified,"Place du Luxembourg 2, 1050 Brussels",http://www.unitee.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.825312,4.372076,approx
Marinalg International,trade association,Brussels,unknown,unknown,,classified,"Avenue de Tervueren 188aPostbox 4, 1150 Brussels",https://marinalg.org/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.834661,4.445367,approx
ARD-Europabüro,public/mixed,Brussels,unknown,unknown,,classified,"28, Rue Jacques de Lalaing, 1040 Brussels",http://www.ard.de,2026-07,EU Transparency Register; location approximate (postcode-level).,50.832636,4.39486,approx
Europäischer Verband Beruflicher Bildungsträger,NGO,Brussels,unknown,unknown,,classified,"28 Boulevard charlemagne, 1000 Brussels",http://evbb.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.847889,4.361724,approx
Boehringer Ingelheim,company,Brussels,unknown,unknown,,classified,"Rue Marie de Bourgogne 58, 1000 Brussels",http://www.boehringer-ingelheim.com,2026-07,EU Transparency Register; location approximate (postcode-level).,50.847529,4.375207,approx
Federation of European Train Drivers'  Unions,trade union,Brussels,unknown,unknown,,classified,"Avenue des Arts19 AD, 1000 Brussels",http://www.ale-org.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.847194,4.370892,approx
European Plastics Converters Association,trade association,Brussels,unknown,unknown,,classified,"Avenue de Cortenbergh, 71, 1000 Brussels",http://www.plasticsconverters.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.842164,4.37033,approx
European Agroforestry Federation,NGO,Brussels,unknown,unknown,,classified,"Rue d'Edimbourg 26, 1050 Ixelles, Bruxelles - Belgium, 1050 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.821619,4.383943,approx
ALPHALEX-CONSULT GEIE,consultancy,Brussels,unknown,unknown,,classified,"Avenue Louise 367, 1050 Brussels",http://alphalex-consult.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.822855,4.374517,approx
Coordination Europe Haïti,NGO,Brussels,unknown,unknown,,classified,"c/o Entraide et FraternitéRue du Gouvernement Provisoire 32, 1000 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.848632,4.366939,approx
European Microfinance Network aisbl,NGO,Brussels,unknown,unknown,,classified,"Rue d'Arlon 55, 1040 Brussels",http://www.european-microfinance.org,2026-07,EU Transparency Register; location approximate (postcode-level).,50.835251,4.382903,approx
Specialised Nutrition Europe,trade association,Brussels,unknown,unknown,,classified,"Avenue des Nerviens, 9-315th floor, 1040 Brussels",https://www.specialisednutritioneurope.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.832224,4.39478,approx
Bundesverband der Deutschen Industrie e.V.,trade association,Brussels,unknown,unknown,,classified,"Rue Marie de Bourgogne 58, 1000 Brussels",http://www.bdi.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.843337,4.363966,approx
BLUE FISH EUROPE,NGO,Brussels,unknown,unknown,,classified,"Rue Montoyer, 47, BE-1000 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.845045,4.364819,approx
PRO Europe,company,Brussels,unknown,unknown,,classified,"Avenue de Cortenbergh 71, 1000 Brussels",http://www.pro-e.org/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.850569,4.359953,approx
Think Tank Sport et Citoyenneté,think tank,Brussels,unknown,unknown,,classified,"House of SportAvenue des Arts, 43, 1040 Brussels",http://www.sportetcitoyennete.com/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.83743,4.393117,approx
Bundesverband deutscher Wohnungs- und Immobilienunternehmen,trade association,Brussels,unknown,unknown,,classified,"Rue du Luxembourg 3, 1000 Brussels",http://www.gdw.de,2026-07,EU Transparency Register; location approximate (postcode-level).,50.851182,4.361163,approx
Federation of European Publishers,trade association,Brussels,unknown,unknown,,classified,"Chaussée d'Ixelles, 29Box 4, 1050 Brussels",http://www.fep-fee.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.822977,4.382179,approx
Heinrich Böll Stiftung e.V.,NGO,Brussels,unknown,unknown,,classified,"Rue du Luxembourg 47-51, 1050 Brussels",https://www.boell.de/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.824209,4.380037,approx
NOVE,consultancy,Brussels,unknown,unknown,,classified,"Rue Paul Emile Janson, 6, 1000 Brussels",http://www.nove.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.848946,4.362633,approx
European Food Emulsifiers Manufacturers Association,trade association,Brussels,unknown,unknown,,classified,"Avenue de Tervueren, 13, Bte 7, 1040 Brussels",http://www.emulsifiers.org,2026-07,EU Transparency Register; location approximate (postcode-level).,50.829018,4.388502,approx
Platform for Better Oral Health in Europe,NGO,Brussels,unknown,unknown,,classified,"Rue Montoyer 47, 1000 Brussels",http://oralhealthplatform.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.84794,4.373495,approx
European Armenian Federation for Justice and Democracy,NGO,Brussels,unknown,unknown,,classified,"Rue Montoyer 35, 1000 Brussels",https://eafjd.eu/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.846646,4.37005,approx
FEDERATION OF EUROPEAN PRODUCERS OF ENVELOPES AND LIGHT PACKAGING,company,Brussels,unknown,unknown,,classified,"Avenue Louise250, 1050 Brussels",https://transparency-register.europa.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.823052,4.378406,approx
Istituto per la Competitività,think tank,Brussels,unknown,unknown,,classified,"Avenue des Arts 50, 1000 Brussels",http://www.i-comeu.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.849532,4.358418,approx
International Union of Tenants,NGO,Brussels,unknown,unknown,,classified,"Rue Général Leman 24, 1040 Brussels",http://www.iut.nu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.8343,4.388988,approx
EUROPEAN SME ACADEMY AVIGNON,NGO,Brussels,unknown,unknown,,classified,"4 RUE J.DELALAING, B1040 Brussels",http://www.europeansmeacademy.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,,,approx
Ashoka,NGO,Brussels,unknown,unknown,,classified,"Rue Joseph II 20, 1000 Brussels",https://www.ashoka.org/en-us/country/belgium,2026-07,EU Transparency Register; location approximate (postcode-level).,50.845406,4.370402,approx
European Dairy Trade Association,trade association,Brussels,unknown,unknown,,classified,"RUE BELLIARD 199, 1040 Brussels",http://www.eucolait.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.839534,4.393527,approx
European Development Finance Institutions,trade association,Brussels,unknown,unknown,,classified,"Rue du Trône 4, 1000 Brussels",http://www.edfi.eu,2026-07,EU Transparency Register; location approximate (postcode-level).,50.846649,4.360052,approx
RAND Europe (EU) AISBL,think tank,Brussels,unknown,unknown,,classified,"Rue de la Loi 82 / Bte 3, 1040 Brussels",http://www.rand.org/randeurope,2026-07,EU Transparency Register; location approximate (postcode-level).,50.837141,4.392859,approx
Drones For Europe,trade association,Brussels,unknown,unknown,,classified,"Rue Emile Claus 50, B5, 1050 Brussels",https://www.drones4europe.eu/,2026-07,EU Transparency Register; location approximate (postcode-level).,50.822968,4.378491,approx
